# opt. SA-based monitor
# Formula: G∀x:w.(¬q(x) ∨ ((¬u(x) ∧ ¬r(x)) U (r(x) ∨ ((u(x) ∧ ¬r(x)) U (r(x) ∨ ((¬u(x) ∧ ¬r(x)) U (r(x) ∨ ((u(x) ∧ ¬r(x)) U (r(x) ∨ (((¬u(x) U r(x)) ∨ G¬u(x)) ∨ Gu(x)))))))))))
# Trace-length: 10000
# Size-lookup-table: 156
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo
1	2	9	20	3	2	1	4	1.5	1.0	2.67	2	1	1	4	1.0	1.0	2.67	1	2	1	4	2.0	1.0	2.67
2	4	17	16	5	3	2	4	2.0	1.29	2.67	4	1	1	4	1.0	1.0	2.67	1	3	2	4	3.0	1.67	2.67
3	0	14	8	4	3	3	4	2.0	1.5	2.09	3	1	1	4	1.0	1.0	2.09	1	3	3	4	3.0	2.0	2.09
4	4	19	10	5	4	3	4	2.5	1.63	1.88	4	1	1	4	1.0	1.0	1.88	1	4	3	4	4.0	2.25	1.88
5	5	22	10	4	5	4	4	3.0	2.13	1.84	3	1	1	4	1.0	1.0	1.84	1	5	4	4	5.0	2.8	1.84
6	4	24	10	4	5	4	4	3.0	2.13	2.26	3	1	1	4	1.0	1.0	2.26	1	5	4	4	5.0	2.8	2.26
7	1	19	5	4	5	4	2	3.0	2.13	1.4	3	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
8	1	19	4	4	5	5	2	3.0	2.25	1.4	3	1	1	2	1.0	1.0	1.4	1	5	5	2	5.0	3.0	1.4
9	5	21	7	4	5	4	4	3.0	2.13	1.93	3	1	1	4	1.0	1.0	1.93	1	5	4	4	5.0	2.8	1.93
10	4	22	7	5	5	4	4	3.0	2.0	1.88	4	1	1	4	1.0	1.0	1.88	1	5	4	4	5.0	2.8	1.88
11	0	22	4	5	5	5	4	3.0	2.11	1.88	4	1	1	4	1.0	1.0	1.88	1	5	5	4	5.0	3.0	1.88
12	2	24	5	5	6	5	2	3.5	2.4	1.4	4	1	1	2	1.0	1.0	1.4	1	6	5	2	6.0	3.33	1.4
13	1	16	4	4	4	4	2	2.5	1.86	1.4	3	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
14	0	16	3	4	4	4	2	2.5	1.86	1.4	3	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
15	3	11	4	3	3	3	2	2.0	1.6	1.4	2	1	1	2	1.0	1.0	1.4	1	3	3	2	3.0	2.0	1.4
16	5	22	6	6	4	3	6	2.5	1.56	2.29	5	1	1	6	1.0	1.0	2.29	1	4	3	6	4.0	2.25	2.29
17	0	17	4	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
18	2	17	4	5	3	3	6	2.0	1.43	2.67	4	1	1	6	1.0	1.0	2.67	1	3	3	6	3.0	2.0	2.67
19	0	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
20	0	12	2	4	2	2	6	1.5	1.2	3.57	3	1	1	6	1.0	1.0	3.57	1	2	2	6	2.0	1.5	3.57
21	2	9	3	3	2	2	4	1.5	1.25	2.67	2	1	1	4	1.0	1.0	2.67	1	2	2	4	2.0	1.5	2.67
22	1	14	2	4	3	2	4	2.0	1.33	2.09	3	1	1	4	1.0	1.0	2.09	1	3	2	4	3.0	1.67	2.09
23	0	11	2	3	3	3	2	2.0	1.6	1.4	2	1	1	2	1.0	1.0	1.4	1	3	3	2	3.0	2.0	1.4
24	4	14	3	3	4	3	2	2.5	1.83	1.4	2	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
25	1	11	2	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
26	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
27	0	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
28	0	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
29	1	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
30	4	1	1	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
31	0	1	0	1	1	1	0	1.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	1.0	1.0	0.0
32	3	6	2	2	2	1	2	1.5	1.0	1.4	1	1	1	2	1.0	1.0	1.4	1	2	1	2	2.0	1.0	1.4
33	4	13	2	3	3	2	4	2.0	1.4	2.2	2	1	1	4	1.0	1.0	2.2	1	3	2	4	3.0	1.67	2.2
34	1	18	3	4	4	3	4	2.5	1.71	1.93	3	1	1	4	1.0	1.0	1.93	1	4	3	4	4.0	2.25	1.93
35	3	16	4	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
36	2	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
37	2	11	1	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
38	3	16	3	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
39	1	14	3	3	4	3	2	2.5	1.83	1.4	2	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
40	0	14	1	3	4	4	2	2.5	2.0	1.4	2	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
41	3	19	3	4	5	4	2	3.0	2.13	1.4	3	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
42	0	14	2	3	4	4	2	2.5	2.0	1.4	2	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
43	2	19	2	4	5	4	2	3.0	2.13	1.4	3	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
44	3	24	4	5	6	5	2	3.5	2.4	1.4	4	1	1	2	1.0	1.0	1.4	1	6	5	2	6.0	3.33	1.4
45	3	6	5	2	2	1	2	1.5	1.0	1.4	1	1	1	2	1.0	1.0	1.4	1	2	1	2	2.0	1.0	1.4
46	0	6	1	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
47	2	6	1	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
48	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
49	1	6	1	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
50	1	6	1	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
51	3	6	1	2	2	1	2	1.5	1.0	1.4	1	1	1	2	1.0	1.0	1.4	1	2	1	2	2.0	1.0	1.4
52	2	14	2	4	3	2	4	2.0	1.33	2.09	3	1	1	4	1.0	1.0	2.09	1	3	2	4	3.0	1.67	2.09
53	1	14	3	4	3	3	4	2.0	1.5	2.09	3	1	1	4	1.0	1.0	2.09	1	3	3	4	3.0	2.0	2.09
54	2	16	3	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
55	4	13	4	3	3	2	4	2.0	1.4	2.2	2	1	1	4	1.0	1.0	2.2	1	3	2	4	3.0	1.67	2.2
56	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
57	3	6	2	2	2	1	2	1.5	1.0	1.4	1	1	1	2	1.0	1.0	1.4	1	2	1	2	2.0	1.0	1.4
58	4	11	3	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
59	4	19	4	5	4	3	4	2.5	1.63	1.88	4	1	1	4	1.0	1.0	1.88	1	4	3	4	4.0	2.25	1.88
60	5	16	5	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
61	2	21	3	5	5	4	2	3.0	2.0	1.4	4	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
62	4	21	6	5	5	5	2	3.0	2.11	1.4	4	1	1	2	1.0	1.0	1.4	1	5	5	2	5.0	3.0	1.4
63	2	6	3	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
64	1	11	1	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
65	3	6	2	2	2	2	2	1.5	1.33	1.4	1	1	1	2	1.0	1.0	1.4	1	2	2	2	2.0	1.5	1.4
66	2	11	1	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
67	4	22	4	6	4	3	6	2.5	1.56	2.29	5	1	1	6	1.0	1.0	2.29	1	4	3	6	4.0	2.25	2.29
68	2	22	6	6	4	4	6	2.5	1.67	2.29	5	1	1	6	1.0	1.0	2.29	1	4	4	6	4.0	2.5	2.29
69	1	14	4	4	3	3	4	2.0	1.5	2.09	3	1	1	4	1.0	1.0	2.09	1	3	3	4	3.0	2.0	2.09
70	0	11	2	3	3	3	2	2.0	1.6	1.4	2	1	1	2	1.0	1.0	1.4	1	3	3	2	3.0	2.0	1.4
71	4	16	3	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
72	4	16	4	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
73	3	23	4	5	5	4	4	3.0	2.0	1.8	4	1	1	4	1.0	1.0	1.8	1	5	4	4	5.0	2.8	1.8
74	2	23	5	5	5	5	4	3.0	2.11	1.8	4	1	1	4	1.0	1.0	1.8	1	5	5	4	5.0	3.0	1.8
75	1	16	4	4	4	4	2	2.5	1.86	1.4	3	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
76	3	16	4	4	4	4	2	2.5	1.86	1.4	3	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
77	2	21	4	5	5	4	2	3.0	2.0	1.4	4	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
78	1	11	3	3	3	3	2	2.0	1.6	1.4	2	1	1	2	1.0	1.0	1.4	1	3	3	2	3.0	2.0	1.4
79	4	16	4	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
80	3	19	4	4	5	4	2	3.0	2.13	1.4	3	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
81	4	14	23	3	4	3	2	2.5	1.83	1.4	2	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
82	2	14	2	3	4	4	2	2.5	2.0	1.4	2	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
83	0	14	2	3	4	4	2	2.5	2.0	1.4	2	1	1	2	1.0	1.0	1.4	1	4	4	2	4.0	2.5	1.4
84	4	11	3	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
85	3	11	2	3	3	3	2	2.0	1.6	1.4	2	1	1	2	1.0	1.0	1.4	1	3	3	2	3.0	2.0	1.4
86	1	16	2	4	4	3	2	2.5	1.71	1.4	3	1	1	2	1.0	1.0	1.4	1	4	3	2	4.0	2.25	1.4
87	2	19	3	4	5	4	2	3.0	2.13	1.4	3	1	1	2	1.0	1.0	1.4	1	5	4	2	5.0	2.8	1.4
88	2	22	3	4	6	5	2	3.5	2.56	1.4	3	1	1	2	1.0	1.0	1.4	1	6	5	2	6.0	3.33	1.4
89	2	30	3	6	7	6	4	4.0	2.67	1.76	5	1	1	4	1.0	1.0	1.76	1	7	6	4	7.0	3.86	1.76
90	0	19	3	4	5	5	2	3.0	2.25	1.4	3	1	1	2	1.0	1.0	1.4	1	5	5	2	5.0	3.0	1.4
91	5	11	3	3	3	2	2	2.0	1.4	1.4	2	1	1	2	1.0	1.0	1.4	1	3	2	2	3.0	1.67	1.4
92	5	22	3	6	4	3	6	2.5	1.56	2.29	5	1	1	6	1.0	1.0	2.29	1	4	3	6	4.0	2.25	2.29
93	3	22	3	5	5	4	4	3.0	2.0	1.88	4	1	1	4	1.0	1.0	1.88	1	5	4	4	5.0	2.8	1.88
94	1	22	2	5	5	5	4	3.0	2.11	1.88	4	1	1	4	1.0	1.0	1.88	1	5	5	4	5.0	3.0	1.88
