# SA-based monitor
# Formula: G∀x:w.(¬q(x) ∨ ((¬u(x) ∧ ¬r(x)) U (r(x) ∨ ((u(x) ∧ ¬r(x)) U (r(x) ∨ ((¬u(x) ∧ ¬r(x)) U (r(x) ∨ ((u(x) ∧ ¬r(x)) U (r(x) ∨ (((¬u(x) U r(x)) ∨ G¬u(x)) ∨ Gu(x)))))))))))
# Trace-length: 10000
# Size-lookup-table: 1785
#
# Ev-sz = Event-size, M-sz = Mon-size, Exec-ms = Execution time in ms, #mons = Total num mons
# M#runs / M#rs = max number of runs, MLruns / MLrs = max length runs, AV#runs / AV#rs = avg number of runs, AVLruns / AVLrs = avg length of runs
#
#Time	Ev-sz	M-sz	Exec-ms	#mons	M#runs	MLruns	MLobl	AV#runs	AVLruns	AVLobl	L0#mons	L0M#rs	L0MLrs	L0MLobl	L0AV#rs	L0AVLrs	L0AVLo	L1#mons	L1M#rs	L1MLrs	L1MLobl	L1AV#rs	L1AVLrs	L1AVLo
1	2	119	58	3	55	1	4	29.5	1.0	1.17	2	55	1	0	55.0	1.0	0.0	1	4	1	4	4.0	1.0	3.5
2	4	235	49	5	55	2	4	30.0	1.1	0.7	4	55	1	0	55.0	1.0	0.0	1	5	2	4	5.0	1.5	3.5
3	0	178	37	4	55	2	4	30.0	1.13	0.63	3	55	1	0	55.0	1.0	0.0	1	5	2	4	5.0	1.5	2.5
4	4	237	38	5	55	3	4	30.5	1.2	0.43	4	55	1	0	55.0	1.0	0.0	1	6	3	4	6.0	2.0	2.17
5	5	186	32	4	55	4	4	31.0	1.38	0.5	3	55	1	0	55.0	1.0	0.0	1	7	4	4	7.0	2.5	2.0
6	4	188	29	4	55	4	4	31.0	1.38	0.63	3	55	1	0	55.0	1.0	0.0	1	7	4	4	7.0	2.5	2.5
7	1	181	22	4	55	4	2	30.5	1.38	0.38	3	55	1	0	55.0	1.0	0.0	1	6	4	2	6.0	2.5	1.5
8	1	181	9	4	55	4	2	30.5	1.38	0.38	3	55	1	0	55.0	1.0	0.0	1	6	4	2	6.0	2.5	1.5
9	5	183	17	4	55	4	4	30.5	1.38	0.52	3	55	1	0	55.0	1.0	0.0	1	6	4	4	6.0	2.5	2.09
10	4	238	18	5	55	4	4	30.5	1.3	0.42	4	55	1	0	55.0	1.0	0.0	1	6	4	4	6.0	2.5	2.09
11	0	238	14	5	55	4	4	30.5	1.3	0.42	4	55	1	0	55.0	1.0	0.0	1	6	4	4	6.0	2.5	2.09
12	2	240	15	5	55	5	2	31.0	1.4	0.3	4	55	1	0	55.0	1.0	0.0	1	7	5	2	7.0	3.0	1.5
13	1	180	12	4	55	3	2	30.5	1.25	0.38	3	55	1	0	55.0	1.0	0.0	1	6	3	2	6.0	2.0	1.5
14	0	180	6	4	55	3	2	30.5	1.25	0.38	3	55	1	0	55.0	1.0	0.0	1	6	3	2	6.0	2.0	1.5
15	3	121	8	3	55	2	2	30.0	1.17	0.5	2	55	1	0	55.0	1.0	0.0	1	5	2	2	5.0	1.5	1.5
16	5	294	13	6	55	3	6	30.5	1.17	0.47	5	55	1	0	55.0	1.0	0.0	1	6	3	6	6.0	2.0	2.83
17	0	235	9	5	55	2	6	30.0	1.1	0.7	4	55	1	0	55.0	1.0	0.0	1	5	2	6	5.0	1.5	3.5
18	2	235	10	5	55	2	6	30.0	1.1	0.7	4	55	1	0	55.0	1.0	0.0	1	5	2	6	5.0	1.5	3.5
19	0	176	8	4	55	1	6	29.5	1.0	1.38	3	55	1	0	55.0	1.0	0.0	1	4	1	6	4.0	1.0	5.5
20	0	176	6	4	55	1	6	29.5	1.0	1.38	3	55	1	0	55.0	1.0	0.0	1	4	1	6	4.0	1.0	5.5
21	2	119	7	3	55	1	4	29.5	1.0	1.17	2	55	1	0	55.0	1.0	0.0	1	4	1	4	4.0	1.0	3.5
22	1	178	6	4	55	2	4	30.0	1.13	0.63	3	55	1	0	55.0	1.0	0.0	1	5	2	4	5.0	1.5	2.5
23	0	121	3	3	55	2	2	30.0	1.17	0.5	2	55	1	0	55.0	1.0	0.0	1	5	2	2	5.0	1.5	1.5
24	4	122	7	3	55	3	2	30.0	1.33	0.5	2	55	1	0	55.0	1.0	0.0	1	5	3	2	5.0	2.0	1.5
25	1	121	5	3	55	2	2	30.0	1.17	0.5	2	55	1	0	55.0	1.0	0.0	1	5	2	2	5.0	1.5	1.5
26	3	62	4	2	55	1	2	29.5	1.0	0.75	1	55	1	0	55.0	1.0	0.0	1	4	1	2	4.0	1.0	1.5
27	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
28	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
29	1	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
30	4	3	2	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
31	0	3	0	1	3	1	0	3.0	1.0	0.0	0	0	0	0	0.0	0.0	0.0	1	3	1	0	3.0	1.0	0.0
32	3	62	3	2	55	1	2	29.5	1.0	0.75	1	55	1	0	55.0	1.0	0.0	1	4	1	2	4.0	1.0	1.5
33	4	123	7	3	55	2	4	30.0	1.17	0.83	2	55	1	0	55.0	1.0	0.0	1	5	2	4	5.0	1.5	2.5
34	1	182	7	4	55	3	4	30.5	1.25	0.54	3	55	1	0	55.0	1.0	0.0	1	6	3	4	6.0	2.0	2.17
35	3	180	7	4	55	3	2	30.5	1.25	0.38	3	55	1	0	55.0	1.0	0.0	1	6	3	2	6.0	2.0	1.5
36	2	62	3	2	55	1	2	29.5	1.0	0.75	1	55	1	0	55.0	1.0	0.0	1	4	1	2	4.0	1.0	1.5
37	2	121	3	3	55	2	2	30.0	1.17	0.5	2	55	1	0	55.0	1.0	0.0	1	5	2	2	5.0	1.5	1.5
38	3	180	6	4	55	3	2	30.5	1.25	0.38	3	55	1	0	55.0	1.0	0.0	1	6	3	2	6.0	2.0	1.5
39	1	122	6	3	55	3	2	30.0	1.33	0.5	2	55	1	0	55.0	1.0	0.0	1	5	3	2	5.0	2.0	1.5
